SMILES	HMDB	HMP2_metab
OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	HMDB0000124	pentose monophosphate
OC[C@@H](O)COP(O)(O)=O	HMDB0000126	alpha-glycerophosphate
NC(=N)NCC(O)=O	HMDB0000128	guanidoacetic acid
NC1=NC(=O)C2=C(N1)N=CN2	HMDB0000132	guanine
NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	HMDB0000133	guanosine
OC(=O)\C=C\C(O)=O	HMDB0000134	fumarate/maleate
[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C	HMDB0000138	glycocholate
OC[C@@H](O)C(O)=O	HMDB0000139	glycerate
N[C@@H](CCC(O)=O)C(O)=O	HMDB0000148	glutamate
OC(=O)C1=C(O)C=CC(O)=C1	HMDB0000152	gentisate
O[C@@H](CC(O)=O)C(O)=O	HMDB0000156	malate
OC1=NC=NC2=C1NC=N2	HMDB0000157	hypoxanthine
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	HMDB0000158	tyrosine
N[C@@H](CC1=CC=CC=C1)C(O)=O	HMDB0000159	phenylalanine
C[C@H](N)C(O)=O	HMDB0000161	alanine
OC(=O)[C@@H]1CCCN1	HMDB0000162	proline
C[C@@H](O)[C@H](N)C(O)=O	HMDB0000167	threonine
N[C@@H](CC(N)=O)C(O)=O	HMDB0000168	asparagine
CC[C@H](C)[C@H](N)C(O)=O	HMDB0000172	isoleucine
C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	HMDB0000174	fucose
N[C@@H](CC1=CN=CN1)C(O)=O	HMDB0000177	histidine
NCCCC[C@H](N)C(O)=O	HMDB0000182	lysine
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	HMDB0000186	lactose
N[C@@H](CO)C(O)=O	HMDB0000187	serine
C[C@H](O)C(O)=O	HMDB0000190	lactate
N[C@@H](CC(O)=O)C(O)=O	HMDB0000191	aspartate
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	HMDB0000192	cystine
CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O	HMDB0000194	anserine
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O	HMDB0000195	inosine
OC(=O)CC1=CNC2=C1C=CC=C2	HMDB0000197	indoleacetate
CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0000201	C2 carnitine
CC(=O)NCCCC[C@H](N)C(O)=O	HMDB0000206	N6-acetyllysine
CCCCCCCC\C=C/CCCCCCCC(O)=O	HMDB0000207	oleate
OC(=O)CC1=CC=CC=C1	HMDB0000209	phenylacetate
CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O	HMDB0000210	pantothenate
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O	HMDB0000212	acetyl-galactosamine
NCCC[C@H](N)C(O)=O	HMDB0000214	ornithine
NC[C@H](O)C1=CC(O)=C(O)C=C1	HMDB0000216	norepinephrine
CCCCCCCCCCCCCCCC(O)=O	HMDB0000220	palmitate
CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0000222	C16 carnitine
OC(=O)C1=CC(=O)NC(=O)N1	HMDB0000226	orotate
CCC(O)=O	HMDB0000237	propionate
CC1=C(O)C(CO)=C(CO)C=N1	HMDB0000239	pyridoxine
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	HMDB0000244	riboflavin
NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1	HMDB0000245	porphobilinogen
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	HMDB0000247	sorbitol
NCCS(O)(=O)=O	HMDB0000251	taurine
CCCCCCCCCCCCC\C=C\C(O)C(N)CO	HMDB0000252	sphingosine
CCCCCCCCCCCCC\C=C\C(O)C(N)CO	HMDB0000252	sphingosine-isomer1
CCCCCCCCCCCCC\C=C\C(O)C(N)CO	HMDB0000252	sphingosine-isomer2
CCCCCCCCCCCCC\C=C\C(O)C(N)CO	HMDB0000252	sphingosine-isomer3
OC(=O)CCC(O)=O	HMDB0000254	succinate
NCCC1=CNC2=CC=C(O)C=C12	HMDB0000259	serotonin
CC1=CNC(=O)NC1=O	HMDB0000262	thymine
CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO	HMDB0000269	sphinganine
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	HMDB0000288	UMP
O=C1NC2=C(N1)C(=O)NC(=O)N2	HMDB0000289	urate
O=C1NC2=C(NC=N2)C(=O)N1	HMDB0000292	xanthine
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	HMDB0000296	uridine
O=C1NC=CC(=O)N1	HMDB0000300	uracil
CC[C@@H](C)[C@@H](O)C(O)=O	HMDB0000317	2-hydroxy-3-methylpentanoate
CC(O)(CC(O)=O)CC(O)=O	HMDB0000355	3-hydroxymethylglutarate
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C	HMDB0000365	epiandrosterone
[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C	HMDB0000391	ketodeoxycholate
CC(C)C(O)C(O)=O	HMDB0000407	2-hydroxy-3-methylbutyrate
OC(=O)CCCCC(O)=O	HMDB0000448	adipate
CC[C@H](N)C(O)=O	HMDB0000452	2-aminobutyrate
N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	HMDB0000472	5-hydroxytryptophan
CN1C=NC=C1C[C@H](N)C(O)=O	HMDB0000479	3-methylhistidine
CCCCCCCC(O)=O	HMDB0000482	caprylate
[H][C@@]12CCC([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C	HMDB0000506	alpha-muricholate
NC(CCCC(O)=O)C(O)=O	HMDB0000510	2-aminoadipate
CCCCCCCCCC(O)=O	HMDB0000511	caprate
N[C@@H](CCCNC(N)=N)C(O)=O	HMDB0000517	arginine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O	HMDB0000518	chenodeoxycholate
C\C(CC(O)=O)=C/C(O)=O	HMDB0000522	3-methylglutaconate
CCCCCC\C=C/CCCC(O)=O	HMDB0000529	5-dodecenoate
CCCCCC(O)=O	HMDB0000535	caproate
C[C@@H](CCC(O)=O)CC(O)=O	HMDB0000555	3-methyladipate/pimelate
CC[C@@H](C)[C@H](N)C(O)=O	HMDB0000557	alloisoleucine
CN1CC(=O)NC1=N	HMDB0000562	creatinine
CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0000610	C18:2 CE
OC[C@@H](O)[C@@H](O)C(O)=O	HMDB0000613	erythronate
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O	HMDB0000619	cholate
OC(=O)CCCCCCCCCCC(O)=O	HMDB0000623	dodecanedioate
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O	HMDB0000626	deoxycholate
NC1=CC=NC(=O)N1	HMDB0000630	cytosine
[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2	HMDB0000631	glycodeoxycholate
[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@H](O)C2)[C@H](C)CCC(=O)NCC(O)=O	HMDB0000637	glycochenodeoxycholate
CCCCCCCCCCCC(O)=O	HMDB0000638	dodecanoate
N[C@@H](CCC(N)=O)C(O)=O	HMDB0000641	glutamine
CCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0000651	C10 carnitine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC)[C@H](C)CCCC(C)C	HMDB0000658	C16:1 CE
CCCCCCC(O)=O	HMDB0000666	heptanoate
N[C@@H](CCCCNC(N)=N)C(O)=O	HMDB0000670	homoarginine
OC(=O)CCCCCCCCCCCCCCC(O)=O	HMDB0000672	hexadecanedioate
CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	HMDB0000673	linoleate
N[C@@H](CCCCNC(N)=O)C(O)=O	HMDB0000679	homocitrulline
OS(=O)(=O)OC1=CNC2=CC=CC=C12	HMDB0000682	indoxyl sulfate
CC(C)C[C@H](N)C(O)=O	HMDB0000687	leucine
CC(C)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0000688	C5 carnitine
OC(=O)CC(O)=O	HMDB0000691	malonate
CSCC[C@H](N)C(O)=O	HMDB0000696	methionine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O	HMDB0000698	glycolithocholate
C[N+]1=CC=CC(=C1)C(N)=O	HMDB0000699	1-methylnicotinamide
O[C@H](C(O)=O)C1=CC=CC=C1	HMDB0000703	mandelate
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O	HMDB0000708	glycoursodeoxycholate
CCCCCCC(O)C(O)=O	HMDB0000711	2-hydroxyoctanoate
OC(=O)CNC(=O)C1=CC=CC=C1	HMDB0000714	hippurate
OC(=O)C1=CC(=O)C2=CC=CC=C2N1	HMDB0000715	kynurenic acid
OC(=O)[C@@H]1CCCCN1	HMDB0000716	pipecolic acid
C[C@H](CCC(=O)NCCS(O)(=O)=O)C1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3CC[C@]12C	HMDB0000722	taurolithocholate
O[C@H]1CN[C@@H](C1)C(O)=O	HMDB0000725	hydroxyproline
[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C	HMDB0000733	hyodeoxycholate/ursodeoxycholate
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O	HMDB0000761	lithocholate
OC(=O)CCC1=CC=CC=C1	HMDB0000764	hydrocinnamate
C[C@H](NC(C)=O)C(O)=O	HMDB0000766	acetylalanine
C[C@H](NC(C)=O)C(O)=O	HMDB0000766	N-acetyalanine
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O	HMDB0000767	pseudouridine
CCCCCCCCCCCCCCCCCCC(O)=O	HMDB0000772	nonadecanoate
OC(CC1=CC=CC=C1)C(O)=O	HMDB0000779	phenylalanine
OC(CC1=CC=CC=C1)C(O)=O	HMDB0000779	phenyllactate
OC(=O)CCCCCCCC(O)=O	HMDB0000784	azelate
O=C1NC(=O)C2=CNNC2=N1	HMDB0000786	oxypurinol
CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0000791	C8 carnitine
OC(=O)CCCCCCCCC(O)=O	HMDB0000792	sebacate
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O	HMDB0000801	phytanate
NC1=NC2=NC=CN=C2C(=O)N1	HMDB0000802	pterin
CCCCCCCCCCCCCC(O)=O	HMDB0000806	myristate
CC(=O)N[C@@H](CC(O)=O)C(O)=O	HMDB0000812	N-acetylaspartic acid
CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0000824	C3 carnitine
CCCCCCCCCCCCCCC(O)=O	HMDB0000826	pentadecanoate
CCCCCCCCCCCCCCCCCC(O)=O	HMDB0000827	stearate
CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0000848	C18 carnitine
CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	HMDB0000866	acetytyrosine
NCCC1=CNC=N1	HMDB0000870	histamine
OC(=O)CCCCCCCCCCCCC(O)=O	HMDB0000872	tetradecanedioate
CC1=CC=C(O)C(O)=C1	HMDB0000873	4-methylcatechol
[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)CC2C[C@H](O)CC[C@]12C	HMDB0000874	taurohyodeoxycholate/tauroursodeoxycholate
C[N+]1=CC=CC(=C1)C([O-])=O	HMDB0000875	trigonelline
OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1	HMDB0000881	xanthurenate
CC(C)[C@H](N)C(O)=O	HMDB0000883	valine
CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O	HMDB0000884	ribothymidine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C	HMDB0000885	C16:0 CE
OC(=O)CCCCCCCCCC(O)=O	HMDB0000888	undecanedionate
CCCCC(O)=O	HMDB0000892	valerate/isovalerate
OC(=O)CCCCCCC(O)=O	HMDB0000893	suberate
CC(=O)OCC[N+](C)(C)C	HMDB0000895	acetylcholine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	HMDB0000896	taurodeoxycholate
CN1C=NC2=C1C(=O)N=C(N)N2	HMDB0000897	7-methylguanine
CN1C=NC(CCN)=C1	HMDB0000898	1-methylhistamine
N[C@@H](CCCNC(N)=O)C(O)=O	HMDB0000904	citrulline
CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0000918	C18:1 CE
C[N+](C)(C)[O-]	HMDB0000925	trimethylamine-N-oxide
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	HMDB0000929	tryptophan
[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@@H](O)[C@H]2O)[C@H](C)CCC(=O)NCCS(O)(=O)=O	HMDB0000932	tauro-alpha-muricholate/tauro-beta-muricholate
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	HMDB0000951	taurochenodeoxycholate
O[C@H]([C@@H](O)C(O)=O)C(O)=O	HMDB0000956	tartarate
OC1=CC=CC=C1O	HMDB0000957	pyrocatechol
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O	HMDB0001008	biliverdin
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	HMDB0001043	arachidonate
CN1C(CCC1=O)C1=CN=CC=C1	HMDB0001046	cotinine
CC(=O)NC(CCC(O)=O)C(O)=O	HMDB0001138	N-acetylglutamate
NCC(=O)CCC(O)=O	HMDB0001149	5-aminolevulinic acid
C[N+](C)(C)CCCC(O)=O	HMDB0001161	butyrobetaine
NC1=CC=C(O)C=C1	HMDB0001169	4-aminophenol
C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N	HMDB0001185	S-adenosylmethionine
CC(=O)NCCCNCCCCNCCCN	HMDB0001186	N1-acetylspermine
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	HMDB0001202	dCMP
CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O	HMDB0001227	dTMP
OC1=CC=C(C=C1)[N+]([O-])=O	HMDB0001232	4-nitrophenol
NCCCCNCCCN	HMDB0001257	spermidine
CC(=O)NCCCNCCCCN	HMDB0001276	N1-acetylspermidine
C[N+](C)(C)CCCC[C@H](N)C([O-])=O	HMDB0001325	"N6,N6,N6-trimethyllysine"
CCCCCCCCCCCCCCCCCC(=O)N[C@@]([H])(COP(O)(=O)OCC[N+](C)(C)C)[C@]([H])(O)\C=C\CCCCCCCCCCCCC	HMDB0001348	C18:0 SM
N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O	HMDB0001370	diaminopimelate
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	HMDB0001388	alpha-linolenate
CN1[C@@H](CC(O)C1=O)C1=CN=CC=C1	HMDB0001390	hydroxycotinine
NC(=O)C1=CC=CN=C1	HMDB0001406	niacinamide
NCCCCN	HMDB0001414	putrescine
NCCCCNC(N)=N	HMDB0001432	agmatine
OC(=O)C1=CN=CC=C1	HMDB0001488	nicotinate
CC1=C(O)C(C)=C2CCC(C)(CCC(O)=O)OC2=C1C	HMDB0001518	alpha-CEHC
N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O	HMDB0001539	ADMA/SDMA
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO	HMDB0001547	corticosterone
CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O	HMDB0001563	1-methylguanosine
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	HMDB0001847	caffeine
CC(=O)NC1=CC=C(O)C=C1	HMDB0001859	acetaminophen
CN1C2=C(NC=N2)C(=O)NC1=O	HMDB0001886	3-methylxanthine
CN1C2=C(NC=N2)C(=O)N(C)C1=O	HMDB0001889	theophylline
OC(=O)C1=CC=CC=C1O	HMDB0001895	salicylate
CC(C)(N)C(O)=O	HMDB0001906	aminoisobutyric acid/GABA
CN(C)C(=N)NC(N)=N	HMDB0001921	metformin
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	HMDB0001924	atenolol
NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1	HMDB0001928	hydrochlorothiazide
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O	HMDB0001933	furosemide
CCCCCC(O)CC(O)=O	HMDB0001954	3-hydroxyoctanoate
CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O	HMDB0001976	docosapentaenoate
CN1C=NC2=C1C(=O)NC(=O)N2	HMDB0001991	7-methylxanthine
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	HMDB0001999	eicosapentaenoate
CCCC\C=C/CCCCCCCC(O)=O	HMDB0002000	myristoleate
CS(=O)CCC(N)C(O)=O	HMDB0002005	methionine sulfoxide
CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0002013	C4 carnitine
CCCCCCCC\C=C/CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0002014	C14:1 carnitine
OC(=O)CC1=CN=CN1	HMDB0002024	imidazoleacetic acid
CC(=O)NCCCCN	HMDB0002064	N-acetylputrescine
CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O	HMDB0002068	13-docosenoate
CCCCCCCCCCCCCCCC(=O)NCCO	HMDB0002100	palmithoylethanolamide
CCCCCCCCCCCCCCCC(=O)NCCO	HMDB0002100	palmitoylethanolamide
CC(C)C1=CC2=C(C(O)=C1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O	HMDB0002121	carnosol
CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C	HMDB0002123	1-3-7-trimethylurate
CC(=O)NCCCNCCCCNCCCNC(C)=O	HMDB0002172	"N1,N12-diacetylspermine"
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O	HMDB0002183	docosahexaenoate
CCCCCCCC(O)CC(O)=O	HMDB0002203	3-hydroxydecanoate
CCCCCCCCCCCCCCCCCCCC(O)=O	HMDB0002212	arachidate
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O	HMDB0002226	adrenate
CCCCCCCC\C=C/CCCCCCCCCC(O)=O	HMDB0002231	eicosenoate
CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0002250	C12 carnitine
CCCCCCCCCCCCCCCCC(O)=O	HMDB0002259	heptadecanoate
CCCCCCCCCCCCC(O)C(O)=O	HMDB0002261	hydroxymyristate
OC(=O)CCC1=CN=CN1	HMDB0002271	imidazole propionate
OC(=O)CCC1=CNC2=CC=CC=C12	HMDB0002302	indole-3-propionate
OC(CN1C=CN=C1)C(O)=O	HMDB0002320	imidazolelactate
NCCCCCN	HMDB0002322	cadaverine
OC(=O)C(O)=O	HMDB0002329	oxalate
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O	HMDB0002364	oleanate
CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O	HMDB0002368	nervonic acid
[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)C[C@@H](O)[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O	HMDB0002392	masilinate
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0002815	C18:1 LPC
CN1C=NC(CC(O)=O)=C1	HMDB0002820	methylimidazole acetic acid
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O	HMDB0002925	eicosatrienoate
O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O	HMDB0003070	shikimate
CCCCCC\C=C/CCCCCCCC(O)=O	HMDB0003229	palmitoleate
OC(=O)CNC(=O)C1=CN=CC=C1	HMDB0003269	nicotinuric acid
CN1C(N)=NC2=C(NC=N2)C1=O	HMDB0003282	1-methylguanine
NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	HMDB0003333	8-hydroxy-deoxyguanosine
N[C@H](CCC(O)=O)C(O)=O	HMDB0003339	glutamate
OC(=O)[C@@H]1CC(=O)NC(=O)N1	HMDB0003349	dihydroorotate
CC(=O)N[C@@H](CCCN)C(O)=O	HMDB0003357	N-acetylornithine
N[C@H](CO)CC1=CN=CN1	HMDB0003431	histidinol
C[C@@H](N)C(=O)N[C@H](C)C(O)=O	HMDB0003459	alanylalanine
NC(N)=NCCCC(O)=O	HMDB0003464	4-guanidinobutanoic acid
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	HMDB0004030	21-deoxycortisol
OC1=CC=C(C=C)C=C1	HMDB0004072	4-hydroxystyrene
CCC1C(CC2=N\C(=C\C3=C(CCC(O)=O)C(C)=C(CC4NC(=O)C(CC)C4C)N3)C(CCC(O)=O)=C2C)NC(=O)C1C	HMDB0004159	urobilin
CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(CC2NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O	HMDB0004161	urobilin
CN1C=C(C=CC1=O)C(N)=O	HMDB0004193	N1-methyl-2-pyridone-5-carboxamide
COC1C(O)C(CO)OC1N1C=NC2=C(N)N=CN=C12	HMDB0004326	2'-O-methyladenosine
CN1C(=O)NC(N)=C(NC(C)=O)C1=O	HMDB0004400	5-acetylamino-6-amino-3-methyluracil
