compound_chembl_id,assay_description,standard_type,bao,pchembl_value,target_chembl_id,hgncid,target_name
CHEMBL90,Agonist activity at human histamine H4 receptor expressed in Sf9 cells co-expressing Galphai2 and Gbeta1gamma2 assessed as stimulation of [35S]GTPgammaS binding,EC50,BAO_0000188,7.86,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL700,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL90,Agonist activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase activity assay,EC50,BAO_0000188,6.7,CHEMBL231,HRH1,Histamine H1 receptor
CHEMBL63829,PUBCHEM_BIOASSAY: Inhibitors of the vitamin D receptor (VDR): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504855],Potency,BAO_0000186,,CHEMBL1977,VDR,Vitamin D receptor
CHEMBL930,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2903,ALOX15,Arachidonate 15-lipoxygenase
CHEMBL667,Agonist activity at alpha3beta4 nAChR expressed in HEK293 cells by FLIPR membrane potential assay,EC50,BAO_0000188,4.72,CHEMBL1907594,CHRNA3,Neuronal acetylcholine receptor; alpha3/beta4
CHEMBL762,Adenyl cyclase activity was expressed as percent forskolin response against 5-hydroxytryptamine 1D receptor at concentration 10 uM,Response,BAO_0000179,,CHEMBL1983,HTR1D,Serotonin 1d (5-HT1d) receptor
CHEMBL90,Agonist activity at human H4 receptor expressed in 293-EBNA cells by luciferase reporter gene assay,EC50,BAO_0000188,5.75,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL90,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL8659,PubChem BioAssay. qHTS of PTHR Inhibitors: Primary Screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1793,PTH1R,Parathyroid hormone receptor
CHEMBL90,Agonist activity at GsalphaS-fused human histamine H2 receptor expressed in Sf9 cells by [35S]GTPgammaS binding assay,EC50,BAO_0000188,5.9,CHEMBL1941,HRH2,Histamine H2 receptor
CHEMBL8085,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Activity,BAO_0000375,,CHEMBL2073719,SLC16A10,SLC16A10 protein
CHEMBL8659,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL667,Agonistic activity against muscarinic acetylcholine receptor M5 expressed in NIH 3T3 cells.,EC50,BAO_0000188,6.2,CHEMBL2035,CHRM5,Muscarinic acetylcholine receptor M5
CHEMBL784,"Partial agonist activity against rho-1 subunit GABA-C receptor expressed in Xenopus oocytes, low intrinsic activity (Im 3%)",EC50,BAO_0000188,4.8,CHEMBL3561,GABRR1,GABA receptor rho-1 subunit
CHEMBL920,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL90,Agonist activity at human histamine H4 receptor expressed in HEK293T cells by CRE-beta-galactosidase assay,Activity,BAO_0000375,,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL88804,Agonist potency against cloned human Metabotropic glutamate receptor 4 (mGluR-4),Ki,BAO_0000192,,CHEMBL2736,GRM4,Metabotropic glutamate receptor 4
CHEMBL90,"Agonist activity at human recombinant histamine H4 receptor-RGS19 fusion protein expressed in Sf9 cells coexpressing Galphai2,Gbeta1gamma2 assessed as [35S]GTPgammaS binding after 90 mins by liquid scintillation counting",EC50,BAO_0000188,7.6899999999999995,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL82293,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of glucocorticoid receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2034,NR3C1,Glucocorticoid receptor
CHEMBL762,Agonist potency against cloned human alpha 1A adrenoceptor expressed in rat-1 fibroblasts.,EC50,BAO_0000188,7.7,CHEMBL229,ADRA1A,Alpha-1a adrenergic receptor
CHEMBL90,"Agonist activity at human recombinant histamine H3 receptor expressed in Sf9 cells coexpressing Galphai2,Gbeta1gamma2 and RGS4 assessed as [35S]GTPgammaS binding after 90 mins by liquid scintillation counting",EC50,BAO_0000188,7.89,CHEMBL264,HRH3,Histamine H3 receptor
CHEMBL667,Agonist activity at human muscarinic M3 receptor expressed in BHK-21 cells assessed as calcium mobilization for 6 mins by Calcium4-based staining,EC50,BAO_0000188,8.49,CHEMBL245,CHRM3,Muscarinic acetylcholine receptor M3
CHEMBL705,Percent transcriptional activation relative to ATRA in CV-1 cells expressing Retinoic acid receptor RAR beta,Efficacy,BAO_0000656,,CHEMBL2008,RARB,Retinoic acid receptor beta
CHEMBL90,Antagonism of the human histamine H1 receptor,IC50,BAO_0000190,,CHEMBL231,HRH1,Histamine H1 receptor
CHEMBL85799,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL667,Agonist activity at muscarinic human M4 receptor expressed in BHK-21 cells assessed as calcium mobilization for 6 mins by Calcium4-based staining,EC50,BAO_0000188,8.0,CHEMBL1821,CHRM4,Muscarinic acetylcholine receptor M4
CHEMBL90,Agonist activity at human histamine H3 receptor expressed in human SK-N-MC cells by CRE-beta galactosidase reporter gene assay,EC50,BAO_0000188,8.3,CHEMBL264,HRH3,Histamine H3 receptor
CHEMBL8739,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Iota. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588623],Potency,BAO_0000186,,CHEMBL5391,POLI,DNA polymerase iota
CHEMBL76232,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL920,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL1743122,SLC22A2,Solute carrier family 22 member 2
CHEMBL705,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL76232,PubChem BioAssay. qHTS Assay for Inhibitors of the Human Apurinic/apyrimidinic Endonuclease 1 (APE1).   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL5619,APEX1,DNA-(apurinic or apyrimidinic site) lyase
CHEMBL97,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL67166,"PUBCHEM_BIOASSAY: SAR analysis of small molecule antagonists of the CCR6 receptor: a luminescent beta-arrestin assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493098, AID493121, AID493159, AID540340]",IC50,BAO_0000190,4.68,CHEMBL4423,CCR6,C-C chemokine receptor type 6
CHEMBL940,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.85,CHEMBL1293232,SMN1,Survival motor neuron protein
CHEMBL784,Agonist activity at GABA alpha-1-beta-2-gamma-2 receptor expressed in HEK293 cells by Whole-cell patch-clamp technique,EC50,BAO_0000188,,CHEMBL2111392,GABRG2,GABA A receptor alpha-1/beta-1/gamma-2
CHEMBL784,Agonist activity at GABA alpha-1-beta-2-gamma-2 receptor expressed in HEK293 cells by Whole-cell patch-clamp technique,EC50,BAO_0000188,,CHEMBL2111392,GABRB1,GABA A receptor alpha-1/beta-1/gamma-2
CHEMBL664,PubChem BioAssay. qHTS Assay for Inhibitors of the Human Apurinic/apyrimidinic Endonuclease 1 (APE1).   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL5619,APEX1,DNA-(apurinic or apyrimidinic site) lyase
CHEMBL90,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL667,Agonist activity at human muscarinic M2 receptor expressed in CHO-K1 cells assessed as calcium mobilization for 6 mins by Calcium4-based staining,EC50,BAO_0000188,6.66,CHEMBL211,CHRM2,Muscarinic acetylcholine receptor M2
CHEMBL8739,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Potency,BAO_0000186,5.0,CHEMBL3577,ALDH1A1,Aldehyde dehydrogenase 1A1
CHEMBL803,Beta-blocking activity measured by applying the stepwise linear discriminate analysis; Inactive,Activity,BAO_0000181,,CHEMBL2094118,ADRB2,Adrenergic receptor beta
CHEMBL82293,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of estrogen receptor alpha signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL206,ESR1,Estrogen receptor alpha
CHEMBL784,Maximal response relative to Gamma-aminobutyric acid A against human Gamma-aminobutyric-acid A receptor alpha-5-beta-3-gamma-2 expressed in Xenopus oocytes,Max,BAO_0000179,,CHEMBL2094122,GABRB3,GABA-A receptor; alpha-5/beta-3/gamma-2
CHEMBL762,Percent response towards alpha 1A adrenergic receptor in canine prostate using phenylephrine as control agonist,Emax,BAO_0000656,,CHEMBL229,ADRA1A,Alpha-1a adrenergic receptor
CHEMBL784,Maximal response relative to Gamma-aminobutyric acid A against human Gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 expressed in Xenopus oocytes,Max,BAO_0000179,,CHEMBL2094130,GABRG2,GABA-A receptor; alpha-2/beta-3/gamma-2
CHEMBL803,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,IC50,BAO_0000190,5.12,CHEMBL1615382,NCOA3,Nuclear receptor coactivator 3
CHEMBL930,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Human Peripheral Myelin Protein 22 (PMP22) Expression/Activity. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.07,CHEMBL1293298,PMP22,Peripheral myelin protein 22
CHEMBL8659,PubChem BioAssay. qHTS assay for small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1741186,RORC,Nuclear receptor ROR-gamma
CHEMBL67166,"PUBCHEM_BIOASSAY: qHTS Validation Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM). (Class of assay: confirmatory) [Related pubchem assays: 593 (Fluorescein region spectral profiling screen), 594 (Rhodamine region spectral profiling screen)]",Potency,BAO_0000186,4.35,CHEMBL1293237,BLM,Bloom syndrome protein
CHEMBL90,Inverse agonist activity at human histamine H4 receptor expressed in HEK293T cells by CRE-beta-galactosidase assay,Activity,BAO_0000375,,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL857,PUBCHEM_BIOASSAY: Inhibitors of the vitamin D receptor (VDR): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504855],Potency,BAO_0000186,,CHEMBL1977,VDR,Vitamin D receptor
CHEMBL773,Antagonist activity at human glycine alpha-1 receptor in HEK293 cells by FMP assay,EC50,BAO_0000188,4.02,CHEMBL5845,GLRA1,Glycine receptor subunit alpha-1
CHEMBL63829,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of GCN5L2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504398],Potency,BAO_0000186,,CHEMBL5501,KAT2A,Histone acetyltransferase GCN5
CHEMBL590540,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.65,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL762,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,4.8,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL67166,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL773,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL66693,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL67166,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.3,CHEMBL1293235,LMNA,Prelamin-A/C
CHEMBL73237,Agonist activity at human adenosine A3 receptor after 15 to 30 mins,EC50,BAO_0000188,,CHEMBL256,ADORA3,Adenosine A3 receptor
CHEMBL762,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,5.4,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL762,Efficacy as percentage of the maximal effect observed for nonselective agonist UK-14304 in CHO cells expressing human Alpha-2C adrenergic receptor; ND is No Data.,Max,BAO_0000179,,CHEMBL1916,ADRA2C,Alpha-2c adrenergic receptor
CHEMBL8659,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of JMJD2A-Tudor Domain. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504402],Potency,BAO_0000186,,CHEMBL5896,KDM4A,Lysine-specific demethylase 4A
CHEMBL73237,Antagonist activity at human adenosine A3 receptor after 15 to 30 mins,Imax,BAO_0000179,,CHEMBL256,ADORA3,Adenosine A3 receptor
CHEMBL762,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),EC50,BAO_0000188,6.86,CHEMBL1983,HTR1D,Serotonin 1d (5-HT1d) receptor
CHEMBL664,PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.3,CHEMBL5162,NPSR1,Neuropeptide S receptor
CHEMBL82293,TP_TRANSPORTER: Daunomycin accumulation in Caco-2 cells,Activity,BAO_0000375,,CHEMBL4302,ABCB1,P-glycoprotein 1
CHEMBL762,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL8739,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of glucocorticoid receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2034,NR3C1,Glucocorticoid receptor
CHEMBL8739,"PUBCHEM_BIOASSAY: qHTS for Inhibitors of Tau Fibril Formation, Fluorescence Polarization. (Class of assay: confirmatory) [Related pubchem assays: 596 ]",Potency,BAO_0000186,5.05,CHEMBL1293224,MAPT,Microtubule-associated protein tau
CHEMBL700,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL590540,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Kappa. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588638],Potency,BAO_0000186,,CHEMBL5365,POLK,DNA polymerase kappa
CHEMBL87285,PubChem BioAssay. Inhibitors of USP1/UAF1: Primary Screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL8739,PubChem BioAssay. qHTS for Inhibitors of Polymerase Iota: Confirmatory Assay for Cherry-picked Compounds.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL5391,POLI,DNA polymerase iota
CHEMBL803,"PUBCHEM_BIOASSAY: Nrf2 qHTS screen for inhibitors. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493153, AID493163, AID504648]",Potency,BAO_0000186,,CHEMBL1075094,NFE2L2,Nuclear factor erythroid 2-related factor 2
CHEMBL8739,PUBCHEM_BIOASSAY: Inhibitors of USP1/UAF1: Pilot qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504878],Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL90,Agonist activity at human histamine H2 receptor expressed in Sf9 cells coexpressing GsalphaS protein by steady-state GTPase assay,EC50,BAO_0000188,5.92,CHEMBL1941,HRH2,Histamine H2 receptor
CHEMBL9850,PubChem BioAssay. qHTS Assay for Inhibitors of the Human Apurinic/apyrimidinic Endonuclease 1 (APE1).   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL5619,APEX1,DNA-(apurinic or apyrimidinic site) lyase
CHEMBL667,Agonist activity at human m1 muscarinic acetylcholine receptor expressed in HEK293 cells assessed as calcium mobilization by FLIPR assay,EC50,BAO_0000188,4.0,CHEMBL216,CHRM1,Muscarinic acetylcholine receptor M1
CHEMBL97,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL664,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL784,Antagonist activity against rho subunit Gamma-aminobutyric acid C (GABA-C) receptor expressed in Xenopus oocytes,Kb,BAO_0000587,,CHEMBL2109242,GABRR1,GABA-C receptor
CHEMBL90,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3397,CYP2C9,Cytochrome P450 2C9
CHEMBL784,"Partial agonist activity against rho-2 subunit GABA-C receptor expressed in Xenopus oocytes, higher intrinsic activity (Im 38%)",EC50,BAO_0000188,5.52,CHEMBL2375,GABRR2,GABA receptor rho-2 subunit
CHEMBL667,Agonist activity at human muscarinic M2 receptor expressed in CHO-K1 cells assessed as calcium mobilization at 10 uM for 6 mins by Calcium4-based staining relative to acetylcholine,Emax,BAO_0000656,,CHEMBL211,CHRM2,Muscarinic acetylcholine receptor M2
CHEMBL705,Agonistic activity towards retinoid X receptor-gamma,Ki,BAO_0000192,7.96,CHEMBL2004,RXRG,Retinoid X receptor gamma
CHEMBL667,Agonist activity at human muscarinic M4 receptor expressed in BHK-21 cells assessed as calcium mobilization at 10 uM for 6 mins by Calcium4-based staining relative to acetylcholine,Emax,BAO_0000656,,CHEMBL1821,CHRM4,Muscarinic acetylcholine receptor M4
CHEMBL705,Percent transcriptional activation relative to ATRA in CV-1 cells expressing Retinoid X receptor RXR beta,Efficacy,BAO_0000656,,CHEMBL1870,RXRB,Retinoid X receptor beta
